Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral
001,Heberdenia bahamensis,,IFN4_MFE25,ARB
007,Acacia spp.,,IFN4_MFE25,ARB
008,Phillyrea latifolia,,IFN4_MFE25,ARB
011,Ailanthus altissima,,IFN4_MFE25,ARB
012,Malus sylvestris,,IFN4_MFE25,ARB
013,Celtis australis,,IFN4_MFE25,ARB
014,Taxus baccata,,IFN4_MFE25,ARB
015,Crataegus spp.,,IFN4_MFE25,ARB
016,Pyrus spp.,,IFN4_MFE25,ARB
017,Cedrus atlantica,,IFN4_MFE25,ARB
018,Chamaecyparis lawsoniana,,IFN4_MFE25,ARB
019,Otras coniferas,,IFN4_MFE25,ARB
021,Pinus sylvestris,,IFN4_MFE25,ARB
022,Pinus uncinata,,IFN4_MFE25,ARB
023,Pinus pinea,,IFN4_MFE25,ARB
024,Pinus halepensis,,IFN4_MFE25,ARB
025,Pinus nigra,,IFN4_MFE25,ARB
026,Pinus pinaster,,IFN4_MFE25,ARB
027,Pinus canariensis,,IFN4_MFE25,ARB
028,Pinus radiata,,IFN4_MFE25,ARB
029,Otros pinos,,IFN4_MFE25,ARB
031,Abies alba,,IFN4_MFE25,ARB
032,Abies pinsapo,,IFN4_MFE25,ARB
033,Picea abies,,IFN4_MFE25,ARB
034,Pseudotsuga menziesii,,IFN4_MFE25,ARB
035,Larix spp.,,IFN4_MFE25,ARB
036,Cupressus sempervirens,,IFN4_MFE25,ARB
037,Juniperus communis,,IFN4_MFE25,ARB
038,Juniperus thurifera,,IFN4_MFE25,ARB
039,Juniperus phoenicea,,IFN4_MFE25,ARB
041,Quercus robur,,IFN4_MFE25,ARB
042,Quercus petraea,,IFN4_MFE25,ARB
043,Quercus pyrenaica,,IFN4_MFE25,ARB
044,Quercus faginea,,IFN4_MFE25,ARB
045,Quercus ilex ssp. ballota,,MFE25,ARB
046,Quercus suber,,IFN4_MFE25,ARB
047,Quercus canariensis,,IFN4_MFE25,ARB
048,Quercus rubra,,IFN4_MFE25,ARB
049,Otros quercus,,IFN4_MFE25,ARB
051,Populus alba,,IFN4_MFE25,ARB
052,Populus tremula,,IFN4_MFE25,ARB
053,Tamarix spp.,,IFN4_MFE25,ARB
054,Alnus glutinosa,,IFN4_MFE25,ARB
055,Fraxinus angustifolia,,IFN4_MFE25,ARB
056,Ulmus minor,,IFN4_MFE25,ARB
057,Salix spp.,,IFN4_MFE25,ARB
058,Populus nigra,,IFN4_MFE25,ARB
059,Otros arboles ripicolas,,IFN4_MFE25,ARB
061,Eucalyptus globulus,,IFN4_MFE25,ARB
062,Eucalyptus camaldulensis,,IFN4_MFE25,ARB
063,Otros eucaliptos,,IFN4_MFE25,ARB
064,Eucalyptus nitens,,IFN4_MFE25,ARB
065,Ilex aquifolium,,IFN4_MFE25,ARB
066,Olea europaea,,IFN4_MFE25,ARB
067,Ceratonia siliqua,,IFN4_MFE25,ARB
068,Arbutus unedo,,IFN4_MFE25,ARB
069,Phoenix spp.,,IFN4_MFE25,ARB
071,Fagus sylvatica,,IFN4_MFE25,ARB
072,Castanea sativa,,IFN4_MFE25,ARB
073,Betula spp.,,IFN4_MFE25,ARB
074,Corylus avellana,,IFN4_MFE25,ARB
075,Juglans regia,,IFN4_MFE25,ARB
076,Acer campestre,,IFN4_MFE25,ARB
077,Tilia spp.,,IFN4_MFE25,ARB
078,Sorbus spp.,,IFN4_MFE25,ARB
079,Platanus hispanica,,IFN4_MFE25,ARB
081,Myrica faya,,IFN4_MFE25,ARB
082,Ilex canariensis,,IFN4_MFE25,ARB
083,Erica arborea,,IFN4_MFE25,ARB (Canarias)
084,Persea indica,,IFN4_MFE25,ARB
085,Sideroxylon marmulano,,IFN4_MFE25,ARB
086,Picconia excelsa,,IFN4_MFE25,ARB
087,Ocotea foetens,,IFN4_MFE25,ARB
088,Apollonias barbujana,,IFN4_MFE25,ARB
089,Otras laurisilvas,,IFN4_MFE25,ARB
092,Robinia pseudoacacia,,IFN4_MFE25,ARB
094,Laurus nobilis,,IFN4_MFE25,ARB
095,Prunus spp.,,IFN4_MFE25,ARB
096,Rhus coriaria,,IFN4_MFE25,ARB
097,Sambucus nigra,,IFN4_MFE25,ARB
098,Carpinus betulus,,IFN4_MFE25,ARB
099,Otras frondosas,,IFN4_MFE25,ARB
207,Acacia melanoxylon,,IFN4_MFE25,ARB
215,Crataegus monogyna,,IFN4_MFE25,ARB
217,Cedrus deodara,,IFN4_MFE25,ARB
219,Tetraclinis articulata,,IFN4_MFE25,ARB
235,Larix decidua,,IFN4_MFE25,ARB
236,Cupressus arizonica,,IFN4_MFE25,ARB
237,Juniperus oxycedrus,,IFN4_MFE25,ARB
238,Juniperus turbinata,,IFN4_MFE25,ARB
243,Quercus pubescens,,IFN4_MFE25,ARB
244,Quercus lusitanica,,IFN4_MFE25,ARB
245,Quercus ilex ssp. ilex,,IFN4,ARB
253,Tamarix canariensis,,IFN4_MFE25,ARB
255,Fraxinus excelsior,,IFN4_MFE25,ARB
256,Ulmus glabra,,IFN4_MFE25,ARB
257,Salix alba,,IFN4_MFE25,ARB
258,Populus x canadensis,,IFN4_MFE25,ARB
264,Eucalyptus viminalis,,IFN4_MFE25,ARB
268,Arbutus canariensis,,IFN4_MFE25,ARB
273,Betula alba,,IFN4_MFE25,ARB
275,Juglans nigra,,IFN4_MFE25,ARB
276,Acer monspessulanum,,IFN4_MFE25,ARB
277,Tilia cordata,,IFN4_MFE25,ARB
278,Sorbus aria,,IFN4_MFE25,ARB
279,Platanus orientalis,,IFN4_MFE25,ARB
281,Myrica rivas-martinezii,,IFN4_MFE25,ARB
282,Ilex platyphylla,,IFN4_MFE25,ARB
283,Erica scoparia,,IFN4_MFE25,ARB (Canarias)
289,Pleiomeris canariensis,,IFN4_MFE25,ARB
292,Sophora japonica,,IFN4_MFE25,ARB
293,Pistacia atlantica,,IFN4_MFE25,ARB
294,Laurus azorica,,IFN4_MFE25,ARB
299,Ficus carica,,IFN4_MFE25,ARB
307,Acacia dealbata,,IFN4_MFE25,ARB
315,Crataegus laevigata,,IFN4_MFE25,ARB
317,Cedrus libani,,IFN4_MFE25,ARB
319,Thuja spp.,,IFN4_MFE25,ARB
335,Larix leptolepis,,IFN4_MFE25,ARB
336,Cupressus lusitanica,,IFN4_MFE25,ARB
337,Juniperus cedrus,,IFN4_MFE25,ARB
344,Quercus alpestris,,IFN4_MFE25,ARB
355,Fraxinus ornus,,IFN4_MFE25,ARB
356,Ulmus pumila,,IFN4_MFE25,ARB
357,Salix atrocinerea,,IFN4_MFE25,ARB
364,Eucalyptus gomphocephalus,,IFN4_MFE25,ARB
373,Betula pendula,,IFN4_MFE25,ARB
376,Acer negundo,,IFN4_MFE25,ARB
377,Tilia platyphyllos,,IFN4_MFE25,ARB
378,Sorbus aucuparia,,IFN4_MFE25,ARB
389,Rhamnus glandulosa,,IFN4_MFE25,ARB
392,Gleditsia triacanthos,,IFN4_MFE25,ARB
395,Prunus avium,,IFN4_MFE25,ARB
399,Morus spp.,,IFN4_MFE25,ARB
415,Crataegus laciniata,,IFN4_MFE25,ARB
435,Larix x eurolepis,,IFN4_MFE25,ARB
436,Cupressus macrocarpa,,IFN4_MFE25,ARB
455,Fraxinus spp.,,IFN4_MFE25,ARB
456,Ulmus spp.,,IFN4_MFE25,ARB
457,Salix babylonica,,IFN4_MFE25,ARB
464,Eucalyptus robusta,,IFN4_MFE25,ARB
469,Phoenix canariensis,,IFN4_MFE25,ARB
476,Acer opalus,,IFN4_MFE25,ARB
478,Sorbus domestica,,IFN4_MFE25,ARB
489,Visnea mocanera,,IFN4_MFE25,ARB
495,Prunus lusitanica,,IFN4_MFE25,ARB
499,Morus alba,,IFN4_MFE25,ARB
515,Crataegus azarolus,,IFN4_MFE25,ARB
557,Salix cantabrica,,IFN4_MFE25,ARB
569,Dracaena draco,,IFN4_MFE25,ARB
576,Acer pseudoplatanus,,IFN4_MFE25,ARB
578,Sorbus torminalis,,IFN4_MFE25,ARB
595,Prunus padus,,IFN4_MFE25,ARB
599,Morus nigra,,IFN4_MFE25,ARB
657,Salix caprea,,IFN4_MFE25,ARB
676,Acer platanoides,,IFN4_MFE25,ARB
678,Sorbus latifolia,,IFN4_MFE25,ARB
757,Salix elaeagnos,,IFN4_MFE25,ARB
776,Acer spp.,,IFN4_MFE25,ARB
778,Sorbus chamaemespilus,,IFN4_MFE25,ARB
857,Salix fragilis,,IFN4_MFE25,ARB
858,Salix canariensis,,IFN4_MFE25,ARB
957,Salix purpurea,,IFN4_MFE25,ARB
0101,Cistus spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO
0102,Erica spp.,Nacional,IFN4_MFE25,MATO
0103,Otras papilionoideas altas,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO
0104,Otras papilionoideas bajas,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO
0105,Quercus coccifera,Nacional,IFN4_MFE25,MATO
0106,Calluna vulgaris,Nacional,IFN4_MFE25,MATO
