"Provincia","Codigo_especie","Especie","Parametro","F.c.","Modelo","a","b","c","d","p","q","r"
19,11,"Ailanthus altissima","VCC",2,11,"-","-","-","-","0.0008668","1.80781","1.00658"
19,11,"Ailanthus altissima","VSC",2,7,"-4.04000","0.9169635","0.0000031","-","-","-","-"
19,11,"Ailanthus altissima","IAVC",2,21,"-","-","0.0001896","-0.00000027200","-","-","-"
19,11,"Ailanthus altissima","VLE",2,12,"-","-","-","-","0.0000001","3.52547","-"
19,11,"Ailanthus altissima","VCC",3,11,"-","-","-","-","0.0008668","1.80781","1.00658"
19,11,"Ailanthus altissima","VSC",3,7,"-4.04000","0.9169635","0.0000031","-","-","-","-"
19,11,"Ailanthus altissima","IAVC",3,21,"-","-","0.0001896","-0.00000027200","-","-","-"
19,11,"Ailanthus altissima","VLE",3,12,"-","-","-","-","0.0000001","3.52547","-"
19,12,"Malus sylvestris","VCC",3,11,"-","-","-","-","0.0017568","1.68729","0.93055"
19,12,"Malus sylvestris","VSC",3,7,"-4.44000","0.8334608","0.0000816","-","-","-","-"
19,12,"Malus sylvestris","IAVC",3,21,"-","-","0.0001896","-0.00000027200","-","-","-"
19,12,"Malus sylvestris","VLE",3,12,"-","-","-","-","0.0010626","1.85153","-"
19,12,"Malus sylvestris","VCC",5,11,"-","-","-","-","0.0017568","1.68729","0.93055"
19,12,"Malus sylvestris","VSC",5,7,"-4.44000","0.8334608","0.0000816","-","-","-","-"
19,12,"Malus sylvestris","IAVC",5,21,"-","-","0.0001896","-0.00000027200","-","-","-"
19,12,"Malus sylvestris","VLE",5,12,"-","-","-","-","0.0010626","1.85153","-"
19,215,"Crataegus monogyna","VCC",5,11,"-","-","-","-","0.0017568","1.68729","0.93055"
19,215,"Crataegus monogyna","VSC",5,7,"-4.44000","0.8334608","0.0000816","-","-","-","-"
19,215,"Crataegus monogyna","IAVC",5,21,"-","-","0.0001896","-0.00000027200","-","-","-"
19,215,"Crataegus monogyna","VLE",5,12,"-","-","-","-","0.0010626","1.85153","-"
19,21,"Pinus sylvestris","VCC",2,11,"-","-","-","-","0.0005737","1.96972","0.88583"
19,21,"Pinus sylvestris","VSC",2,7,"-7.07000","0.8197169","0.0000229","-","-","-","-"
19,21,"Pinus sylvestris","IAVC",2,20,"0.91116","0.0260867","-","0.00000003325","-","-","-"
19,21,"Pinus sylvestris","VLE",2,12,"-","-","-","-","0.0001194","2.14645","-"
19,21,"Pinus sylvestris","VCC",3,11,"-","-","-","-","0.0001668","2.34799","0.44902"
19,21,"Pinus sylvestris","VSC",3,7,"0.32000","0.7590795","0.0000853","-","-","-","-"
19,21,"Pinus sylvestris","IAVC",3,20,"0.91116","0.0260867","-","0.00000003325","-","-","-"
19,21,"Pinus sylvestris","VLE",3,12,"-","-","-","-","0.0001194","2.14645","-"
19,21,"Pinus sylvestris","VCC",5,11,"-","-","-","-","0.0006920","2.09689","0.30199"
19,21,"Pinus sylvestris","VSC",5,7,"-4.60000","0.8248336","0.0000394","-","-","-","-"
19,21,"Pinus sylvestris","IAVC",5,20,"0.91116","0.0260867","-","0.00000003325","-","-","-"
19,21,"Pinus sylvestris","VLE",5,12,"-","-","-","-","0.0001194","2.14645","-"
19,23,"Pinus pinea","VCC",2,11,"-","-","-","-","0.0014257","1.76673","0.98882"
19,23,"Pinus pinea","VSC",2,7,"-16.05000","0.7834317","0.0000205","-","-","-","-"
19,23,"Pinus pinea","IAVC",2,14,"-","-","-","-","0.0025422","1.37961","-"
19,23,"Pinus pinea","VLE",2,12,"-","-","-","-","0.0000008","3.04558","-"
19,23,"Pinus pinea","VCC",3,11,"-","-","-","-","0.0019412","1.90296","0.31746"
19,23,"Pinus pinea","VSC",3,7,"2.49000","0.5722811","0.0009123","-","-","-","-"
19,23,"Pinus pinea","IAVC",3,14,"-","-","-","-","0.0025422","1.37961","-"
