Species,Model,a0,a1,b0,b1,AIC,pseudoR2,Q_index
Pinus canariensis,basic,12.672,,-1.8226,,2616.9,0.3378,
Pinus canariensis,P1,3.639,2.448,-2.0891,,2320.8,0.4178,0.305
Pinus canariensis,PWM,4.176,2.059,-1.9567,,2347.4,0.4111,0.251
Pinus canariensis,P,13.161,,-2.6082,0.0015,2364.4,0.4067,0.245
Pinus canariensis,P2,12.989,,-2.3961,0.0075,2420.9,0.3921,0.189
Pinus canariensis,M1,11.738,1.061,-1.85,,2431.5,0.3893,0.189
Pinus halepensis,basic,11.982,,-1.776,,12622.5,0.3388,
Pinus halepensis,M,9.241,0.886,-1.5559,-0.0095,12325.5,0.3549,0.063
Pinus halepensis,MXT3,96.948,-14.977,-1.7045,,12368.1,0.3526,0.079
Pinus halepensis,MXT4,105.595,-16.445,-1.7171,,12383.7,0.3517,0.077
Pinus halepensis,MXTWM,100.504,-15.542,-1.7134,,12394.4,0.3512,0.073
Pinus halepensis,PWM,8.722,0.784,-1.6057,-0.0026,12401.9,0.3509,0.051
Pinus nigra,basic,12.756,,-1.8346,,5117.9,0.2965,
Pinus nigra,MXT3,140.953,–22.536,-1.9324,,5010.9,0.3128,0.123
Pinus nigra,MXT,154.667,-24.995,-1.9154,,5028.5,0.3102,0.119
Pinus nigra,MXT4,104.61,-16.094,-1.9119,,5045.9,0.3076,0.091
Pinus nigra,MXT2,13.019,,5.7005,-0.0268,5046.7,0.3075,0.119
Pinus nigra,P2,11.821,0.29,-1.8973,,5047.8,0.3073,0.098
Pinus pinaster,basic,13.096,,-1.9063,,10593,0.2716,
Pinus pinaster,MXT,13.446,,4.177,-0.0213,10229,0.3011,0.129
Pinus pinaster,MXT3,13.365,,3.5759,-0.019,10241.6,0.3001,0.128
Pinus pinaster,T3,13.324,,3.911,-0.0206,10296.4,0.2958,0.121
Pinus pinaster,MXT4,13.462,,2.6955,-0.0159,10307.5,0.2949,0.114
Pinus pinaster,MXT2,13.389,,3.3318,-0.0187,10317.1,0.2941,0.114
Pinus pinea,basic,13.562,,-2.1855,,3270.9,0.3887,
