"Provincia","Codigo_especie","Especie","Parametro","F.c.","Modelo","a","b","c","d","p","q","r"
25,307,"Acacia dealbata","VCC",2,1,"35.74000","0.0002100","-","-","-","-","-"
25,307,"Acacia dealbata","VSC",2,7,"-4.45000","0.8335933","0.0000815","-","-","-","-"
25,307,"Acacia dealbata","IAVC",2,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,307,"Acacia dealbata","VLE",2,12,"-","-","-","-","0.0000271","2.51797","-"
25,8,"Phillyrea latifolia","VCC",2,1,"28.73000","0.0003222","-","-","-","-","-"
25,8,"Phillyrea latifolia","VSC",2,7,"-6.20000","0.8544971","-0.0000059","-","-","-","-"
25,8,"Phillyrea latifolia","IAVC",2,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,8,"Phillyrea latifolia","VLE",2,12,"-","-","-","-","0.0000271","2.51797","-"
25,8,"Phillyrea latifolia","VCC",3,1,"28.73000","0.0003222","-","-","-","-","-"
25,8,"Phillyrea latifolia","VSC",3,7,"-6.20000","0.8544971","-0.0000059","-","-","-","-"
25,8,"Phillyrea latifolia","IAVC",3,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,8,"Phillyrea latifolia","VLE",3,12,"-","-","-","-","0.0000271","2.51797","-"
25,8,"Phillyrea latifolia","VCC",5,1,"28.73000","0.0003222","-","-","-","-","-"
25,8,"Phillyrea latifolia","VSC",5,7,"-6.20000","0.8544971","-0.0000059","-","-","-","-"
25,8,"Phillyrea latifolia","IAVC",5,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,8,"Phillyrea latifolia","VLE",5,12,"-","-","-","-","0.0000271","2.51797","-"
25,11,"Ailanthus altissima","VCC",2,1,"28.73000","0.0003222","-","-","-","-","-"
25,11,"Ailanthus altissima","VSC",2,7,"-6.20000","0.8544971","-0.0000059","-","-","-","-"
25,11,"Ailanthus altissima","IAVC",2,21,"-","-","0.0003314","-0.00000049084","-","-","-"
25,11,"Ailanthus altissima","VLE",2,12,"-","-","-","-","0.0000271","2.51797","-"
25,11,"Ailanthus altissima","VCC",3,1,"28.73000","0.0003222","-","-","-","-","-"
25,11,"Ailanthus altissima","VSC",3,7,"-6.20000","0.8544971","-0.0000059","-","-","-","-"
25,11,"Ailanthus altissima","IAVC",3,21,"-","-","0.0003314","-0.00000049084","-","-","-"
25,11,"Ailanthus altissima","VLE",3,12,"-","-","-","-","0.0000271","2.51797","-"
25,12,"Malus sylvestris","VCC",2,1,"-5.35000","0.0003650","-","-","-","-","-"
25,12,"Malus sylvestris","VSC",2,7,"-4.94000","0.8041414","0.0000186","-","-","-","-"
25,12,"Malus sylvestris","IAVC",2,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,12,"Malus sylvestris","VLE",2,12,"-","-","-","-","0.0010626","1.85153","-"
25,12,"Malus sylvestris","VCC",3,1,"-5.35000","0.0003650","-","-","-","-","-"
25,12,"Malus sylvestris","VSC",3,7,"-4.94000","0.8041414","0.0000186","-","-","-","-"
25,12,"Malus sylvestris","IAVC",3,21,"-","-","0.0001346","-0.00000013795","-","-","-"
25,12,"Malus sylvestris","VLE",3,12,"-","-","-","-","0.0010626","1.85153","-"
25,12,"Malus sylvestris","VCC",5,1,"-5.35000","0.0003650","-","-","-","-","-"
25,12,"Malus sylvestris","VSC",5,7,"-4.94000","0.8041414","0.0000186","-","-","-","-"
