Codigo_IFN,Nombre_Especie,Fuente
1,Heberdenia bahamensis,IFN3
2,Amelanchier ovalis,IFN3
3,Frangula alnus,IFN3
4,Rhamnus alaternus,IFN3
5,Euonymus europaeus,IFN3
6,Myrtus communis,IFN3
7,Acacia spp.,IFN3
8,Phillyrea latifolia,IFN3
9,Cornus sanguinea,IFN3
10,Sin asignar,IFN3
11,Ailanthus altissima,IFN3
12,Malus sylvestris,IFN3
13,Celtis australis,IFN3
14,Taxus baccata,IFN3
15,Crataegus spp.,IFN3
16,Pyrus spp.,IFN3
17,Cedrus atlantica,IFN3
18,Chamaecyparis lawsoniana,IFN3
19,Otras coníferas,IFN3
20,Pinos Pinos,IFN3
21,Pinus sylvestris,IFN3
22,Pinus uncinata,IFN3
23,Pinus pinea,IFN3
24,Pinus halepensis,IFN3
25,Pinus nigra,IFN3
26,Pinus pinaster,IFN3
27,Pinus canariensis,IFN3
28,Pinus radiata,IFN3
29,Otros pinos,IFN3
30,Mezcla de coníferas,IFN3
31,Abies alba,IFN3
32,Abies pinsapo,IFN3
33,Picea abies,IFN3
34,Pseudotsuga menziesii,IFN3
35,Larix spp.,IFN3
36,Cupressus sempervirens,IFN3
37,Juniperus communis,IFN3
38,Juniperus thurifera,IFN3
39,Juniperus phoenicea,IFN3
40,Quercus Quercus,IFN3
41,Quercus robur,IFN3
42,Quercus petraea,IFN3
43,Quercus pyrenaica,IFN3
44,Quercus faginea,IFN3
45,Quercus ilex,IFN3
46,Quercus suber,IFN3
47,Quercus canariensis,IFN3
48,Quercus rubra,IFN3
49,Otros quercus,IFN3
50,Mezcla de árboles de ribera,IFN3
51,Populus alba,IFN3
52,Populus tremula,IFN3
53,Tamarix spp.,IFN3
54,Alnus glutinosa,IFN3
55,Fraxinus angustifolia,IFN3
56,Ulmus minor,IFN3
57,Salix spp.,IFN3
58,Populus nigra,IFN3
59,Otros árboles,IFN3
60,Mezcla de eucaliptos,IFN3
61,Eucalyptus globulus,IFN3
62,Eucalyptus camaldulensis,IFN3
63,Otros eucaliptos,IFN3
64,Eucalyptus nitens,IFN3
65,Ilex aquifolium,IFN3
66,Olea europaea,IFN3
67,Ceratonia siliqua,IFN3
68,Arbutus unedo,IFN3
69,Phoenix spp.,IFN3
70,Mezcla de frondosas de gran porte,IFN3
71,Fagus sylvatica,IFN3
72,Castanea sativa,IFN3
73,Betula spp.,IFN3
74,Corylus avellana,IFN3
75,Juglans regia,IFN3
76,Acer campestre,IFN3
77,Tilia spp.,IFN3
78,Sorbus spp.,IFN3
79,Platanus hispanica,IFN3
80,Laurisilva Laurisilva,IFN3
81,Myrica faya,IFN3
82,Ilex canariensis,IFN3
83,Erica arborea,IFN3
84,Persea indica,IFN3
85,Sideroxylon marmulano,IFN3
86,Picconia excelsa,IFN3
87,Ocotea phoetens,IFN3
88,Apollonias barbujana,IFN3
89,Otras laurisilvas,IFN3
90,Mezcla de pequeñas frondosas,IFN3
91,Buxus sempervirens,IFN3
92,Robinia pseudacacia,IFN3
93,Pistacia terebinthus,IFN3
94,Laurus nobilis,IFN3
95,Prunus spp.,IFN3
96,Rhus coriaria,IFN3
97,Sambucus nigra,IFN3
98,Carpinus betulus,IFN3
99,Otras frondosas,IFN3
207,Acacia melanoxylon,IFN3
215,Crataegus monogyna,IFN3
217,Cedrus deodara,IFN3
219,Tetraclinis articulata,IFN3
235,Larix decidua,IFN3
236,Cupressus arizonica,IFN3
237,Juniperus oxycedrus,IFN3
238,Juniperus turbinata,IFN3
239,Juniperus sabina,IFN3
243,Quercus pubescens,IFN3
244,Quercus lusitanica,IFN3
253,Tamarix canariensis,IFN3
255,Fraxinus excelsior,IFN3
256,Ulmus glabra,IFN3
257,Salix alba,IFN3
258,Populus x canadensis,IFN3
264,Eucalyptus viminalis,IFN3
268,Arbutus canariensis,IFN3
273,Betula alba,IFN3
275,Juglans nigra,IFN3
276,Acer monspessulanum,IFN3
277,Tilia cordata,IFN3
278,Sorbus aria,IFN3
279,Platanus orientalis,IFN3
