"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
43,"Tarragona",255,"Fraxinus excelsior","VLE",5,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
43,"Tarragona",857,"Salix fragilis","VLE",1,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
43,"Tarragona",578,"Sorbus torminalis","VSC",1,"0",7,-4.45,0.8335933,8.15e-05,0,0,0,0,0.99069
43,"Tarragona",51,"Populus alba","VSC",5,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
43,"Tarragona",16,"Pyrus spp.","VSC",2,"0",7,-4.94,0.8041414,1.86e-05,0,0,0,0,0.99213
43,"Tarragona",255,"Fraxinus excelsior","VCC",2,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
43,"Tarragona",21,"Pinus sylvestris","IAVC",3,"0",19,-0.44123,0.0051068,0.0001641,-1.3246e-07,0,0,0,0.48365
43,"Tarragona",12,"Malus sylvestris","IAVC",2,"0",14,0,0,0,0,0.00012,1.79794,0,0.39509
43,"Tarragona",258,"Populus x canadensis","VLE",5,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
43,"Tarragona",99,"Otras frondosas","VCC",1,"0",1,109.53,0.0001481,0,0,0,0,0,0
43,"Tarragona",55,"Fraxinus angustifolia","VLE",4,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
43,"Tarragona",243,"Quercus pubescens","IAVC",2,"0",16,-1.04218,0.000156,0,0,0,0,0,0.6092
43,"Tarragona",378,"Sorbus aucuparia","VCC",2,"0",1,35.74,0.00021,0,0,0,0,0,0
43,"Tarragona",243,"Quercus pubescens","VCC",3,"0",1,15.14,0.00014,0,0,0,0,0,0
43,"Tarragona",476,"Acer opalus","VCC",3,"0",1,35.74,0.00021,0,0,0,0,0,0
43,"Tarragona",39,"Juniperus phoenicea","VCC",3,"0",1,51.32,0.0002995,0,0,0,0,0,0.9801
43,"Tarragona",43,"Quercus pyrenaica","IAVC",5,"0",16,-1.04218,0.000156,0,0,0,0,0,0.6092
43,"Tarragona",65,"Ilex aquifolium","VSC",1,"0",7,-4.94,0.8041414,1.86e-05,0,0,0,0,0.99213
43,"Tarragona",255,"Fraxinus excelsior","IAVC",3,"0",8,4.56,0.0217333,-3.8e-06,0,0,0,0,0.35042
43,"Tarragona",258,"Populus x canadensis","VSC",2,"0",7,-4.59,0.8151141,1.03e-05,0,0,0,0,0.99253
43,"Tarragona",45,"Quercus ilex","VLE",5,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
43,"Tarragona",23,"Pinus pinea","VSC",4,"0",7,-2.72,0.7021172,0.0001332,0,0,0,0,0.9862
43,"Tarragona",72,"Castanea sativa","VLE",6,"0",12,0,0,0,0,2.12e-05,2.52613,0,0.53503
43,"Tarragona",257,"Salix alba","VLE",6,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
43,"Tarragona",476,"Acer opalus","VCC",2,"0",1,35.74,0.00021,0,0,0,0,0,0
43,"Tarragona",71,"Fagus sylvatica","VLE",3,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
43,"Tarragona",243,"Quercus pubescens","VLE",2,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
43,"Tarragona",378,"Sorbus aucuparia","IAVC",2,"0",14,0,0,0,0,0.00012,1.84074,0,0.47313
43,"Tarragona",23,"Pinus pinea","VCC",2,"0",1,51.32,0.0002995,0,0,0,0,0,0.98014
43,"Tarragona",257,"Salix alba","VCC",4,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
43,"Tarragona",215,"Crataegus monogyna","VLE",1,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
43,"Tarragona",21,"Pinus sylvestris","VSC",5,"0",7,-7.69,0.8727232,3.37e-05,0,0,0,0,0.99904
43,"Tarragona",4,"Rhamnus alaternus","VSC",2,"0",7,-4.94,0.8041414,1.86e-05,0,0,0,0,0.99213
43,"Tarragona",57,"Salix spp.","VLE",4,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
43,"Tarragona",51,"Populus alba","VLE",5,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
43,"Tarragona",24,"Pinus halepensis","VSC",1,"0",7,-11.5,0.7893432,3.28e-05,0,0,0,0,0.99149
43,"Tarragona",58,"Populus nigra","IAVC",2,"0",8,16.49,0.0473236,-9.5e-06,0,0,0,0,0.34472
43,"Tarragona",95,"Prunus spp.","VLE",2,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
43,"Tarragona",857,"Salix fragilis","VLE",3,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
43,"Tarragona",14,"Taxus baccata","IAVC",2,"0",13,8.3129574,0.0451452,-254.57,0,0,0,0,0.4944
43,"Tarragona",23,"Pinus pinea","IAVC",4,"0",13,8.31296,0.0451452,-254.5697674,0,0,0,0,0.49439
