"Codigo_especie","Provincia","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2","Especie"
154,33,"VSC",2,"0",7,-2.29,0.9171828,4.5e-06,0,0,0,0,0.999170005321503,NA
154,33,"IAVC",2,"0",8,3.61,0.07902,-6.29e-05,0,0,0,0,0,NA
154,33,"VLE",2,"0",12,0,0,0,0,1.83129,0.0009308,0,0.315770000219345,NA
154,33,"VLE",5,"0",12,0,0,0,0,1.83129,0.0009308,0,0.315770000219345,NA
154,33,"VCC",2,"0",1,39.31,0.0002217,0,0,0,0,0,0,NA
154,33,"VLE",1,"0",12,0,0,0,0,1.83129,0.0009308,0,0.315770000219345,NA
154,33,"VCC",3,"0",1,39.31,0.0002217,0,0,0,0,0,0,NA
154,33,"VCC",1,"0",1,39.31,0.0002217,0,0,0,0,0,0,NA
154,33,"VSC",1,"0",7,-2.29,0.9171828,4.5e-06,0,0,0,0,0.999170005321503,NA
154,33,"IAVC",1,"0",8,3.61,0.07902,-6.29e-05,0,0,0,0,0,NA
154,33,"IAVC",5,"0",8,3.61,0.07902,-6.29e-05,0,0,0,0,0,NA
154,33,"VSC",5,"0",7,-2.29,0.9171828,4.5e-06,0,0,0,0,0.999170005321503,NA
154,33,"VCC",5,"0",1,39.31,0.0002217,0,0,0,0,0,0,NA
154,33,"VLE",3,"0",12,0,0,0,0,1.83129,0.0009308,0,0.315770000219345,NA
154,33,"VSC",3,"0",7,-2.29,0.9171828,4.5e-06,0,0,0,0,0.999170005321503,NA
154,33,"IAVC",3,"0",8,3.61,0.07902,-6.29e-05,0,0,0,0,0,NA
269,7,"VSC",5,"0",7,-1.55,0.8632,5.6e-05,0,0,0,0,0,NA
269,7,"IAVC",1,"0",14,0,0,0,0,1.3876,0.0733479,0,0,NA
269,7,"VCC",2,"0",1,20.57,0.000269,0,0,0,0,0,0,NA
269,7,"VSC",2,"0",7,-1.55,0.8632,5.6e-05,0,0,0,0,0,NA
269,7,"IAVC",2,"0",14,0,0,0,0,1.3876,0.0733479,0,0,NA
269,7,"VCC",3,"0",1,20.57,0.000269,0,0,0,0,0,0,NA
269,7,"VSC",3,"0",7,-1.55,0.8632,5.6e-05,0,0,0,0,0,NA
269,7,"VCC",1,"0",1,20.57,0.000269,0,0,0,0,0,0,NA
269,7,"VCC",5,"0",1,20.57,0.000269,0,0,0,0,0,0,NA
269,7,"IAVC",5,"0",14,0,0,0,0,1.3876,0.0733479,0,0,NA
269,7,"IAVC",3,"0",14,0,0,0,0,1.3876,0.0733479,0,0,NA
269,7,"VSC",1,"0",7,-1.55,0.8632,5.6e-05,0,0,0,0,0,NA
492,15,"VSC",5,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0.996070027351379,NA
492,15,"IAVC",5,"0",13,4.71,0.0215964,-186,0,0,0,0,0.43983242,NA
492,15,"VCC",1,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
492,15,"VSC",1,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0.996070027351379,NA
492,15,"IAVC",1,"0",13,4.71,0.0215964,-186,0,0,0,0,0.43983242,NA
492,15,"VLE",1,"0",10,-5.86,0.0248,3.58e-05,0,0,0,0,0,NA
492,15,"IAVC",3,"0",13,4.71,0.0215964,-186,0,0,0,0,0.43983242,NA
492,15,"VLE",3,"0",10,-5.86,0.0248,3.58e-05,0,0,0,0,0,NA
492,15,"VCC",5,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
492,15,"VLE",5,"0",10,-5.86,0.0248,3.58e-05,0,0,0,0,0,NA
492,15,"VSC",3,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0.996070027351379,NA
492,15,"VCC",2,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
492,15,"VCC",3,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
492,15,"VLE",2,"0",10,-5.86,0.0248,3.58e-05,0,0,0,0,0,NA
492,15,"IAVC",2,"0",13,4.71,0.0215964,-186,0,0,0,0,0.43983242,NA
492,15,"VSC",2,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0.996070027351379,NA
592,15,"VSC",1,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0.996070027351379,NA
592,15,"IAVC",1,"0",13,4.71,0.0215964,-186,0,0,0,0,0.43983242,NA
592,15,"VLE",1,"0",10,-5.86,0.0248,3.58e-05,0,0,0,0,0,NA
592,15,"VCC",2,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
