"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Modelo","a","b","c","d","p","q","r","D.n.m."
27,"Lugo",NA,"Pinus sylvestris","VCC",1,1,"10.66000","0.0003393","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VCC",2,1,"10.66000","0.0003393","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VCC",3,1,"2.55000","0.0003295","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VCC",5,1,"36.68000","0.0002060","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VSC",1,7,"-4.58000","0.8366685","0.0000532","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VSC",2,7,"-4.58000","0.8366685","0.0000532","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VSC",3,7,"-0.65000","0.7831115","-0.0000085","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VSC",5,7,"-3.43000","0.8209285","0.0001860","-","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","IAVC",1,21,"-","-","0.0003816","-0.00000015258","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","IAVC",2,21,"-","-","0.0003816","-0.00000015258","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","IAVC",3,21,"-","-","0.0003816","-0.00000015258","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","IAVC",5,21,"-","-","0.0003816","-0.00000015258","-","-","-","-"
27,"Lugo",NA,"Pinus sylvestris","VLE",1,12,"-","-","-","-","0.00011940000","2.1464500","-","-"
27,"Lugo",NA,"Pinus sylvestris","VLE",2,12,"-","-","-","-","0.00011940000","2.1464500","-","-"
27,"Lugo",NA,"Pinus sylvestris","VLE",3,12,"-","-","-","-","0.00011940000","2.1464500","-","-"
27,"Lugo",NA,"Pinus sylvestris","VLE",5,12,"-","-","-","-","0.00011940000","2.1464500","-","-"
27,"Lugo",NA,"Pinus pinaster","VCC",1,1,"25.95000","0.0003052","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VCC",2,1,"25.95000","0.0003052","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VCC",3,1,"6.38000","0.0002405","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VCC",5,1,"38.41000","0.0002080","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VSC",1,7,"-15.67000","0.7339778","0.0000152","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VSC",2,7,"-15.67000","0.7339778","0.0000152","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VSC",3,7,"0.18000","0.6607412","-0.0014076","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VSC",5,7,"-2.40000","0.6407340","0.0001871","-","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","IAVC",1,21,"-","-","0.0003741","-0.00000009290","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","IAVC",2,21,"-","-","0.0003741","-0.00000009290","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","IAVC",3,21,"-","-","0.0003741","-0.00000009290","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","IAVC",5,21,"-","-","0.0003741","-0.00000009290","-","-","-","-"
27,"Lugo",NA,"Pinus pinaster","VLE",1,12,"-","-","-","-","0.00005640000","2.2402800","-","-"
27,"Lugo",NA,"Pinus pinaster","VLE",2,12,"-","-","-","-","0.00005640000","2.2402800","-","-"
27,"Lugo",NA,"Pinus pinaster","VLE",3,12,"-","-","-","-","0.00005640000","2.2402800","-","-"
27,"Lugo",NA,"Pinus pinaster","VLE",5,12,"-","-","-","-","0.00005640000","2.2402800","-","-"
27,"Lugo",NA,"Pinus radiata","VCC",1,1,"33.43000","0.0002719","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VCC",2,1,"33.43000","0.0002719","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VCC",3,1,"2.21000","0.0002529","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VCC",5,1,"143.14000","0.0001490","-","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VSC",1,7,"-6.20000","0.8062843","0.0000124","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VSC",2,7,"-6.20000","0.8062843","0.0000124","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VSC",3,7,"-0.67000","0.8758525","-0.0023044","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VSC",5,7,"14.12000","0.6292313","0.0002362","-","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","IAVC",1,21,"-","-","0.0009187","-0.00000095491","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","IAVC",2,21,"-","-","0.0009187","-0.00000095491","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","IAVC",3,21,"-","-","0.0009187","-0.00000095491","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","IAVC",5,21,"-","-","0.0009187","-0.00000095491","-","-","-","-"
27,"Lugo",NA,"Pinus radiata","VLE",1,12,"-","-","-","-","0.00141360000","1.7311300","-","-"
27,"Lugo",NA,"Pinus radiata","VLE",2,12,"-","-","-","-","0.00141360000","1.7311300","-","-"
27,"Lugo",NA,"Pinus radiata","VLE",3,12,"-","-","-","-","0.00141360000","1.7311300","-","-"
27,"Lugo",NA,"Pinus radiata","VLE",5,12,"-","-","-","-","0.00141360000","1.7311300","-","-"
27,"Lugo",NA,"Quercus robur","VCC",2,1,"81.21000","0.0002541","-","-","-","-","-","-"
27,"Lugo",NA,"Quercus robur","VCC",3,1,"4.64000","0.0002203","-","-","-","-","-","-"
27,"Lugo",NA,"Quercus robur","VCC",4,1,"45.10000","0.0001140","-","-","-","-","-","-"
27,"Lugo",NA,"Quercus robur","VCC",5,1,"48.87000","0.0002000","-","-","-","-","-","-"
27,"Lugo",NA,"Quercus robur","VCC",6,1,"48.87000","0.0002000","-","-","-","-","-","-"
