"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
29,"Málaga",23,"Pinus pinea","VCC",4,"0",11,0,0,0,0,0.0024506,1.56778,1.19867,0.96534
29,"Málaga",49,"Otros quercus","VCC",4,"0",11,0,0,0,0,0.0006635,2.03373,0.33178,0.95964
29,"Málaga",68,"Arbutus unedo","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",32,"Abies pinsapo","VLE",3,"0",12,0,0,0,0,2.34e-05,2.44778,0,0.36806
29,"Málaga",66,"Olea europaea","VLE",3,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
29,"Málaga",356,"Ulmus pumila","IAVC",5,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",215,"Crataegus monogyna","VSC",5,"0",7,0.19,0.7891678,0.000308,0,0,0,0,0
29,"Málaga",46,"Quercus suber","VCC",5,"0",11,0,0,0,0,0.0009676,1.95868,0.62692,0.99347
29,"Málaga",6,"Myrtus communis","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
29,"Málaga",6,"Myrtus communis","VCC",6,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
29,"Málaga",72,"Castanea sativa","VCC",5,"0",11,0,0,0,0,0.000674,1.90277,0.69472,0.94457
29,"Málaga",55,"Fraxinus angustifolia","VCC",6,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
29,"Málaga",356,"Ulmus pumila","VSC",3,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
29,"Málaga",51,"Populus alba","VCC",4,"0",11,0,0,0,0,0.0009998,1.8202,0.74247,0.94428
29,"Málaga",13,"Celtis australis","VSC",3,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
29,"Málaga",72,"Castanea sativa","IAVC",5,"0",13,10.71587,0.0256064,-429.5538462,0,0,0,0,0.54033
29,"Málaga",53,"Tamarix spp.","IAVC",2,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",95,"Prunus spp.","VCC",4,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
29,"Málaga",395,"Prunus avium","VSC",2,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
29,"Málaga",44,"Quercus faginea","VCC",2,"0",11,0,0,0,0,0.0007618,1.84881,0.95432,0.99293
29,"Málaga",4,"Rhamnus alaternus","IAVC",1,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",6,"Myrtus communis","VCC",2,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
29,"Málaga",47,"Quercus canariensis","IAVC",2,"0",20,-1.28584,0.0281992,0,-5.51e-09,0,0,0,0.2381
29,"Málaga",6,"Myrtus communis","VSC",6,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
29,"Málaga",67,"Ceratonia siliqua","IAVC",5,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",6,"Myrtus communis","IAVC",2,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",27,"Pinus canariensis","VLE",2,"0",12,0,0,0,0,1.1e-06,2.96233,0,0.51193
29,"Málaga",51,"Populus alba","IAVC",4,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",957,"Salix purpurea","IAVC",5,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",356,"Ulmus pumila","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",28,"Pinus radiata","VSC",3,"0",7,-2.04,0.7427125,-0.000972,0,0,0,0,0.9049
29,"Málaga",8,"Phillyrea latifolia","VCC",2,"0",11,0,0,0,0,9.9e-05,2.16832,1.21117,0
29,"Málaga",72,"Castanea sativa","VCC",6,"0",11,0,0,0,0,0.000674,1.90277,0.69472,0.94457
29,"Málaga",39,"Juniperus phoenicea","VLE",5,"0",12,0,0,0,0,2.5e-05,2.41169,0,0.44123
29,"Málaga",46,"Quercus suber","VLE",4,"0",12,0,0,0,0,1e-07,3.538,0,0.72999
29,"Málaga",364,"Eucalyptus gomphocephalus","VLE",2,"0",12,0,0,0,0,4.4e-05,2.39055,0,0.52746
29,"Málaga",45,"Quercus ilex","IAVC",3,"0",20,0.19103,0.0068667,0,1.77e-09,0,0,0,0.31582
29,"Málaga",13,"Celtis australis","VCC",5,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
29,"Málaga",395,"Prunus avium","VLE",2,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",236,"Cupressus arizonica","VCC",2,"0",11,0,0,0,0,0.0004554,1.99576,0.92676,0.97729
29,"Málaga",49,"Otros quercus","IAVC",4,"0",20,-1.28584,0.0281992,0,-5.51e-09,0,0,0,0.2381
29,"Málaga",44,"Quercus faginea","IAVC",3,"0",20,-1.28584,0.0281992,0,-5.51e-09,0,0,0,0.2381
29,"Málaga",8,"Phillyrea latifolia","IAVC",2,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",4,"Rhamnus alaternus","IAVC",4,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",66,"Olea europaea","IAVC",3,"0",16,1.14046,1.3e-05,0,0,0,0,0,0.27749
29,"Málaga",66,"Olea europaea","VSC",5,"0",7,-3,0.8497195,9.45e-05,0,0,0,0,0.99208
29,"Málaga",237,"Juniperus oxycedrus","VLE",3,"0",12,0,0,0,0,2.5e-05,2.41169,0,0.44123
29,"Málaga",237,"Juniperus oxycedrus","VSC",2,"0",7,-15.18,0.7593746,9e-06,0,0,0,0,0.99608
29,"Málaga",356,"Ulmus pumila","IAVC",2,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",46,"Quercus suber","VSC",3,"0",7,-10.93,0.8604427,1.46e-05,0,0,0,0,0.99495
29,"Málaga",44,"Quercus faginea","IAVC",2,"0",20,-1.28584,0.0281992,0,-5.51e-09,0,0,0,0.2381
29,"Málaga",23,"Pinus pinea","IAVC",2,"0",21,0,0,0.0002286,-3.0061e-07,0,0,0,0.82782
29,"Málaga",236,"Cupressus arizonica","IAVC",2,"0",14,0,0,0,0,6e-07,3.21272,0,0.70821
29,"Málaga",49,"Otros quercus","VSC",4,"0",7,-6.85,0.8837949,1.6e-05,0,0,0,0,0.99627
29,"Málaga",67,"Ceratonia siliqua","VCC",4,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
29,"Málaga",6,"Myrtus communis","VLE",4,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
29,"Málaga",237,"Juniperus oxycedrus","VSC",5,"0",7,-6.25,0.7279393,6.62e-05,0,0,0,0,0.99095
29,"Málaga",67,"Ceratonia siliqua","IAVC",4,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",55,"Fraxinus angustifolia","IAVC",4,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",47,"Quercus canariensis","VSC",3,"0",7,-11.27,0.9375242,-2.4e-06,0,0,0,0,0.99741
29,"Málaga",237,"Juniperus oxycedrus","IAVC",2,"0",14,0,0,0,0,6e-07,3.21272,0,0.70821
29,"Málaga",24,"Pinus halepensis","IAVC",5,"0",21,0,0,0.0001987,-2.0181e-07,0,0,0,0.76517
29,"Málaga",72,"Castanea sativa","VSC",3,"0",7,-8.37,0.8971521,7e-06,0,0,0,0,0.9994
29,"Málaga",8,"Phillyrea latifolia","VLE",2,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",95,"Prunus spp.","VLE",3,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",4,"Rhamnus alaternus","VCC",1,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
29,"Málaga",6,"Myrtus communis","IAVC",6,"0",17,-2.0021,0.0413978,-3.38e-05,0,0,0,0,0.53666
29,"Málaga",51,"Populus alba","VSC",3,"0",7,-1.64,0.9594182,-0.0046489,0,0,0,0,0.9456
29,"Málaga",44,"Quercus faginea","VLE",4,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
29,"Málaga",21,"Pinus sylvestris","VCC",2,"0",11,0,0,0,0,0.0005061,1.96386,0.94176,0.97689
29,"Málaga",58,"Populus nigra","VLE",2,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
29,"Málaga",49,"Otros quercus","VLE",4,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
29,"Málaga",47,"Quercus canariensis","VSC",5,"0",7,-11.27,0.9375242,-2.4e-06,0,0,0,0,0.99741
29,"Málaga",25,"Pinus nigra","VSC",5,"0",7,-6.25,0.7279393,6.62e-05,0,0,0,0,0.99095
29,"Málaga",24,"Pinus halepensis","VLE",3,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
29,"Málaga",23,"Pinus pinea","VLE",2,"0",12,0,0,0,0,8e-07,3.04558,0,0.62681
29,"Málaga",13,"Celtis australis","VSC",2,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
29,"Málaga",68,"Arbutus unedo","IAVC",3,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",66,"Olea europaea","IAVC",5,"0",16,1.14046,1.3e-05,0,0,0,0,0,0.27749
29,"Málaga",24,"Pinus halepensis","VLE",5,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
29,"Málaga",46,"Quercus suber","VSC",5,"0",7,-10.93,0.8604427,1.46e-05,0,0,0,0,0.99495
29,"Málaga",236,"Cupressus arizonica","VLE",2,"0",12,0,0,0,0,2.5e-05,2.41169,0,0.44123
29,"Málaga",4,"Rhamnus alaternus","VLE",4,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
29,"Málaga",46,"Quercus suber","IAVC",2,"0",19,5.4043,-0.0298667,0.0001049,-5.967e-08,0,0,0,0.37363
29,"Málaga",99,"Otras frondosas","VCC",5,"0",11,0,0,0,0,0.0007656,1.91434,0.69702,0.99097
29,"Málaga",58,"Populus nigra","VCC",5,"0",11,0,0,0,0,0.0009998,1.8202,0.74247,0.94428
29,"Málaga",364,"Eucalyptus gomphocephalus","VCC",2,"0",11,0,0,0,0,0.000872,1.81361,0.94351,0.95449
29,"Málaga",58,"Populus nigra","VSC",5,"0",7,-1.58,0.7969857,1.88e-05,0,0,0,0,0.99104
29,"Málaga",32,"Abies pinsapo","VSC",3,"0",7,-14.9,0.8961208,-2.8e-06,0,0,0,0,0.99566
29,"Málaga",72,"Castanea sativa","VCC",2,"0",11,0,0,0,0,0.000674,1.90277,0.69472,0.94457
29,"Málaga",24,"Pinus halepensis","VLE",2,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
29,"Málaga",39,"Juniperus phoenicea","VSC",2,"0",7,-15.18,0.7593746,9e-06,0,0,0,0,0.99608
29,"Málaga",39,"Juniperus phoenicea","VCC",2,"0",11,0,0,0,0,0.0004554,1.99576,0.92676,0.97729
29,"Málaga",39,"Juniperus phoenicea","IAVC",3,"0",14,0,0,0,0,6e-07,3.21272,0,0.70821
29,"Málaga",6,"Myrtus communis","VLE",6,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
29,"Málaga",68,"Arbutus unedo","IAVC",2,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",72,"Castanea sativa","IAVC",3,"0",13,10.71587,0.0256064,-429.5538462,0,0,0,0,0.54033
29,"Málaga",68,"Arbutus unedo","VLE",2,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
29,"Málaga",95,"Prunus spp.","IAVC",5,"0",13,2.19037,0.0124823,-184.3358209,0,0,0,0,0.36517
29,"Málaga",395,"Prunus avium","VCC",2,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
