"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Modelo","a","b","c","d","p","q","r","D.n.m."
15,"Coruña, A",NA,"Pyrus spp.","VCC",2,1,"13.04","0.0002678","-","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VCC",3,1,"13.04","0.0002678","-","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VCC",4,1,"13.04","0.0002678","-","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VCC",5,1,"13.04","0.0002678","-","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VSC",2,7,"-6.47","0.7939548","0.0000343","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VSC",3,7,"-6.47","0.7939548","0.0000343","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VSC",4,7,"-6.47","0.7939548","0.0000343","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VSC",5,7,"-6.47","0.7939548","0.0000343","","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","IAVC",2,21,"-","-","0.0003255","-0.00000007555","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","IAVC",3,21,"-","-","0.0003255","-0.00000007555","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","IAVC",4,21,"-","-","0.0003255","-0.00000007555","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","IAVC",5,21,"-","-","0.0003255","-0.00000007555","-","-","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VLE",2,12,"-","-","-","","0.0016601","1.7736","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VLE",3,12,"-","-","-","","0.0016601","1.7736","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VLE",4,12,"-","-","-","","0.0016601","1.7736","-","-"
15,"Coruña, A",NA,"Pyrus spp.","VLE",5,12,"-","-","-","","0.0016601","1.7736","-","-"
15,"Coruña, A",NA,"Acacia spp.","VCC",1,1,"-3.74","0.0002944","-","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VCC",2,1,"-3.74","0.0002944","-","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VCC",3,1,"-3.74","0.0002944","-","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VCC",5,1,"-3.74","0.0002944","-","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VSC",1,7,"-1.72","0.811565","0.0000065","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VSC",2,7,"-1.72","0.811565","0.0000065","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VSC",3,7,"-1.72","0.811565","0.0000065","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VSC",5,7,"-1.72","0.811565","0.0000065","","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","IAVC",1,17,"-10.96925","0.2021321","-0.0002073","-","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","IAVC",2,17,"-10.96925","0.2021321","-0.0002073","-","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","IAVC",3,17,"-10.96925","0.2021321","-0.0002073","-","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","IAVC",5,17,"-10.96925","0.2021321","-0.0002073","-","-","-","-","-"
15,"Coruña, A",NA,"Acacia spp.","VLE",1,12,"-","-","-","","0.0000212","2.52613","-","-"
15,"Coruña, A",NA,"Acacia spp.","VLE",2,12,"-","-","-","","0.0000212","2.52613","-","-"
15,"Coruña, A",NA,"Acacia spp.","VLE",3,12,"-","-","-","","0.0000212","2.52613","-","-"
15,"Coruña, A",NA,"Acacia spp.","VLE",5,12,"-","-","-","","0.0000212","2.52613","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VCC",2,1,"9.92","0.0003379","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VCC",3,1,"3.57","0.000312","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VCC",5,1,"36.68","0.000206","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VSC",2,7,"-3.67","0.7984439","0.00011","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VSC",3,7,"-0.41","0.7210423","0.0005083","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VSC",5,7,"-3.43","0.8209285","0.000186","","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","IAVC",2,21,"-","-","0.000709","-0.00000076391","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","IAVC",3,21,"-","-","0.000709","-0.00000076391","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","IAVC",5,21,"-","-","0.000709","-0.00000076391","-","-","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VLE",2,12,"-","-","-","","0.0001194","2.14645","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VLE",3,12,"-","-","-","","0.0001194","2.14645","-","-"
15,"Coruña, A",NA,"Pinus sylvestris","VLE",5,12,"-","-","-","","0.0001194","2.14645","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VCC",1,1,"34.2","0.0002936","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VCC",2,1,"34.2","0.0002936","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VCC",3,1,"10.07","0.0001908","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VCC",5,1,"38.41","0.000208","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VSC",1,7,"-15.69","0.7459322","0.0000167","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VSC",2,7,"-15.69","0.7459322","0.0000167","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VSC",3,7,"1.49","0.5277825","0.0021963","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VSC",5,7,"-7.3","0.7068691","0.000043","","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","IAVC",1,21,"-","-","0.0004687","-0.00000034931","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","IAVC",2,21,"-","-","0.0004687","-0.00000034931","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","IAVC",3,21,"-","-","0.0004687","-0.00000034931","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","IAVC",5,21,"-","-","0.0004687","-0.00000034931","-","-","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VLE",1,12,"-","-","-","","0.0000564","2.24028","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VLE",2,12,"-","-","-","","0.0000564","2.24028","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VLE",3,12,"-","-","-","","0.0000564","2.24028","-","-"
15,"Coruña, A",NA,"Pinus pinaster","VLE",5,12,"-","-","-","","0.0000564","2.24028","-","-"
15,"Coruña, A",NA,"Pinus radiata","VCC",1,1,"45.73","0.0002677","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus radiata","VCC",2,1,"45.73","0.0002677","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus radiata","VCC",3,1,"10.96","0.0002","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus radiata","VCC",5,1,"143.14","0.000149","-","","-","-","-","-"
15,"Coruña, A",NA,"Pinus radiata","VSC",1,7,"-9.84","0.8166969","0.0000126","","-","-","-","-"
15,"Coruña, A",NA,"Pinus radiata","VSC",2,7,"-9.84","0.8166969","0.0000126","","-","-","-","-"
